epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.925,1.74885,2.29649,1.55832,0.74052,0.52522,0.66062,0.35407,1.31404,26.5421,1.09503,0.000549052,0.000549052,0.000549052
2,599.162,1.52072,1.41922,1.32612,0.72808,0.61898,0.72572,0.40868,1.28552,19.0035,1.1016,0.00109378,0.00109378,0.00109378
3,892.947,1.4651,1.23142,1.30007,0.73922,0.68854,0.75178,0.39893,1.3185,26.2917,1.14169,0.00162751,0.00162751,0.00162751
4,1184.85,1.42918,1.10791,1.2898,0.81262,0.75858,0.84056,0.48207,1.228,16.5625,1.08662,0.00161749,0.00161749,0.00161749
5,2087.49,1.4055,1.04061,1.27244,0.84731,0.83458,0.88933,0.5233,1.18658,31.9629,1.08538,0.00160099,0.00160099,0.00160099
6,2388.92,1.39757,0.98373,1.26893,0.81011,0.79222,0.84843,0.50969,1.18531,46.6269,1.0765,0.00158448,0.00158448,0.00158448
7,2721.19,1.3573,0.91245,1.24138,0.84709,0.83008,0.89694,0.53769,1.15107,26.5295,1.05155,0.00156798,0.00156798,0.00156798
8,3045.89,1.3419,0.88706,1.23728,0.90725,0.87152,0.94015,0.57725,1.11698,5.94913,1.01865,0.00155148,0.00155148,0.00155148
9,3352.02,1.33306,0.88171,1.24264,0.85893,0.88013,0.92295,0.55485,1.14721,32.7585,1.0493,0.00153497,0.00153497,0.00153497
10,3687.47,1.31402,0.83166,1.22965,0.87276,0.88078,0.93353,0.58075,1.11685,8.38508,1.02586,0.00151847,0.00151847,0.00151847
11,4015.05,1.30813,0.81642,1.21878,0.91129,0.88958,0.94982,0.60039,1.06823,3.93827,1.00197,0.00150197,0.00150197,0.00150197
